"MSA","Counties","Wage Index","GAF"
"6920","1 Sacramento, CA El Dorado, CA Placer, CA Sacramento, CA","1.1829","1.1219"
"6960","Saginaw-Bay City-Midland, MI Bay, MI Midland, MI Saginaw, MI","0.9725","0.9811"
"6980","St. Cloud, MN Benton, MN Stearns, MN","1.0271","1.0185"
"7000","2 St. Joseph, MO Andrew, MO Buchanan, MO","0.8041","0.8613"
"7040","1 St. Louis, MO-IL Clinton, IL Jersey, IL Madison, IL Monroe, IL St. Clair, IL Franklin, MO Jefferson, MO Lincoln, MO St. Charles, MO St. Louis, MO St. Louis City, MO Warren, MO","0.9085","0.9364"
"7080","Salem, OR Marion, OR Polk, OR","1.0549","1.0373"
"7120","Salinas, CA Monterey, CA","1.3820","1.2480"
"7160","1 Salt Lake City-Ogden, UT Davis, UT Salt Lake, UT Weber, UT","0.9491","0.9649"
"7200","San Angelo, TX Tom Green, TX","0.8174","0.8710"
"7240","1 San Antonio, TX Bexar, TX Comal, TX Guadalupe, TX Wilson, TX","0.9020","0.9318"
"7320","1 San Diego, CA San Diego, CA","1.1260","1.0847"
"7360","1 San Francisco, CA Marin, CA San Francisco, CA San Mateo, CA","1.4694","1.3015"
"7400","1 San Jose, CA Santa Clara, CA","1.4734","1.3040"
"7440","1 San Juan-Bayamon, PR Aguas Buenas, PR Barceloneta, PR Bayamon, PR Canovanas, PR Carolina, PR Catano, PR Ceiba, PR Comerio, PR Corozal, PR Dorado, PR Fajardo, PR Florida, PR Guaynabo, PR Humacao, PR Juncos, PR Los Piedras, PR Loiza, PR Luguillo, PR Manati, PR Morovis, PR Naguabo, PR Naranjito, PR Rio Grande, PR San Juan, PR Toa Alta, PR Toa Baja, PR Trujillo Alto, PR Vega Alta, PR Vega Baja, PR Yabucoa, PR","0.4801","0.6050"
"7460","San Luis Obispo-Atascadero-Paso Robles, CA San Luis Obispo, CA","1.1115","1.0751"
"7480","Santa Barbara-Santa Maria-Lompoc, CA Santa Barbara, CA","1.0757","1.0512"
"7485","Santa Cruz-Watsonville, CA Santa Cruz, CA","1.4759","1.3055"
"7490","Santa Fe, NM Los Alamos, NM Santa Fe, NM","1.0565","1.0384"
"7500","Santa Rosa, CA Sonoma, CA","1.2938","1.1929"
"7510","Sarasota-Bradenton, FL Manatee, FL Sarasota, FL","0.9610","0.9731"
"7520","Savannah, GA Bryan, GA Chatham, GA Effingham, GA","0.9464","0.9630"
"7560","Scranton--Wilkes-Barre--Hazleton, PA Columbia, PA Lackawanna, PA Luzerne, PA Wyoming, PA","0.8505","0.8950"
"7600","1 Seattle-Bellevue-Everett, WA Island, WA King, WA Snohomish, WA","1.1463","1.0980"
"7610","2 Sharon, PA Mercer, PA","0.8346","0.8835"
"7620","2 Sheboygan, WI Sheboygan, WI","0.9496","0.9652"
